,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
6579,2,0,1.62,3.75,6.0,5,2,3,20,9,133,71,79,39,4,5,1,13,10,100,56,66,34
6580,2,1,1.5,4.33,6.5,4,1,5,11,15,101,57,122,57,1,0,9,8,31,108,56,138,78
6581,0,1,2.2,3.2,3.5,2,3,5,10,17,92,49,90,47,4,2,4,17,18,84,38,115,53
6582,1,1,1.44,4.33,8.0,3,2,5,13,15,131,78,84,42,2,3,5,12,17,80,37,126,72
6583,1,3,2.25,3.4,3.2,2,3,5,11,13,87,44,124,58,3,2,5,10,18,90,45,150,81
6584,1,1,2.38,3.4,3.0,3,3,4,19,23,98,52,118,65,5,1,4,11,11,78,33,98,54
6585,1,0,1.85,3.6,4.33,2,4,4,10,17,100,55,102,56,1,0,9,4,20,92,44,131,64
6586,0,1,11.0,5.0,1.29,3,3,4,12,13,109,55,125,59,7,2,1,19,5,177,89,59,30
6587,2,1,2.05,3.2,4.0,4,4,2,11,8,75,41,110,57,3,4,3,11,12,105,52,78,31
6588,1,1,1.73,3.75,5.0,8,1,1,25,8,137,56,96,48,3,3,4,12,15,133,63,89,54
6589,0,0,1.7,3.75,5.0,1,5,4,10,17,109,55,117,52,1,3,6,9,22,81,41,148,67
6590,0,1,1.83,3.75,4.0,4,2,4,12,19,102,50,119,51,3,2,5,10,20,99,49,126,51
6591,3,1,1.25,5.5,12.0,3,1,6,13,18,124,67,94,48,3,3,4,15,13,107,39,149,79
6592,4,1,2.0,3.3,3.8,4,1,5,15,14,122,58,119,62,1,4,5,4,13,111,49,118,64
6593,0,1,2.6,3.3,2.63,1,0,9,5,21,111,44,122,63,3,3,4,13,12,111,55,102,53
